,index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc,word_ind,ori_word,clip_index,_before_no,_after_no,before_text,after_text,_before_kor,_after_kor,verify
10,36635,end,341,"At the end of the haircut,",BB518,1167154,1168954,at end of haircut,./bigbang,F,1,end,20,3,2,"What's this about Sheldon seeing you naked?
Oh, relax. It was just her bottom and her breasts.
Almost done.","Mr. D'Onofrio would tell me a dirty joke.
Sorry, I don't know any dirty jokes.","쉘든이 뭘 봤다는 거야?
진정해, 엉덩이랑 가슴만 봤어
거의 다 됐어","도노프리오 아저씨는 야한 농담을 해줬어
난 그런 농담 몰라",F
11,37349,end,39,"50% of marriages end in divorce,",BB520,97695,99745,of marriages end in divorce,./bigbang,F,1,end,21,8,1,"He's bringing me; who are you bringing?
Wow, what a bunch of Nosey O'Donnells.
Come on, who is it?
I'm not telling.
I'm from Asia, I'm mysterious, deal with it.
Howard aren't having a make-your-own-sundae bar?
I don't think so.
Well, you should.",but 100% of make-your-own-sundae bars end in happiness.,"나랑 가기로 했어, 넌 누구랑 가?
왜 이렇게 오지랖이야
누군데 그래
비밀이야
난 아시안이라 신비주의로 가겠어
하워드, 피로연에 선데이 바도 있어?
없을거 같아
있어야 좋아",선데이 바는 100% 행복한 결말이지,F
12,37356,end,40,but 100% of make-your-own-sundae bars end in happiness.,BB520,99747,103565,but of makeyourownsundae bars end in happiness,./bigbang,F,1,end,22,8,0,"Wow, what a bunch of Nosey O'Donnells.
Come on, who is it?
I'm not telling.
I'm from Asia, I'm mysterious, deal with it.
Howard aren't having a make-your-own-sundae bar?
I don't think so.
Well, you should.
50% of marriages end in divorce,",,"왜 이렇게 오지랖이야
누군데 그래
비밀이야
난 아시안이라 신비주의로 가겠어
하워드, 피로연에 선데이 바도 있어?
없을거 같아
있어야 좋아
결혼의 50%는  이혼으로 끝나는데",,F
13,14783,ended,259,I thought were friends with me who ended up shunning me.,BB508,888185,890886,i thought were friends with me who ended up shunning me,./bigbang,F,1,end,23,7,4,"With-with loofah mitts, no hands.
It's okay. I'm glad this happened.
I can stop pretending that some beautiful girl
and her cute-in- the-right-light friend
Amy, we're really sorry.
Yeah, we feel awful.
Don't. I'll be okay. You're not the first girls","It's like elementary school, junior high,
high school, undergrad, grad school,
and that semester abroad in Norway all over again.
Oh, come on, Amy.","손 말고  떼밀이 수건으로
괜찮아, 언젠가는 이렇게 됐겠지
이제 현실을 깨달았어
예쁘고 귀여운 두 분이 나랑 있고 싶지는 않겠지
에이미, 정말 미안해
그래, 우리가 잘못했어
너네가 처음도 아닌데 뭘","초등학교, 중학교
고등학교, 대학교, 대학원
그리고 노르웨이에  한 학기 있을 때도 그랬지
에이미, 이러지 마",F
14,29194,ended,234,"No, they ended up calling me Sock Mouth.",BB515,659459,662611,no they ended up calling me sock mouth,./bigbang,F,1,end,24,9,2,"That's not bad, Howard ""Rocket Man"" Wolowitz.
Yeah, it's great, but I told you,
I don't get to pick my nickname.
It has to come from the other astronauts.
Maybe there's a way to get them to come up with it.
Like how?
Once I tried carrying around a Duncan yo-yo,
hoping the other kids would start calling me Duncan.
Did it work?","Because they took away my yo-yo
and stuffed their socks in my mouth.","괜찮다, 하워드 로켓맨 왈로위츠
좋긴 좋은데
내가 고르는 게 아니라고
다른 비행사들이 지어주는 거야
지어주도록 만들면 되지
어떻게?
한때는 던컨 요요를  들고 다녔어
애들이 던컨이라  불러주길 바랬어
효과는?","요요를 뺏기고
내 입에  양말을 쳐박았어",F
15,10919,wonder,294,"My goodness, it's a wonder you people in California",BB506,894696,896646,my goodness it's wonder you people in california,./bigbang,F,2,wonder,10,6,3,"Oh, yes, the common cold.
Just like everyone else.
You'd love that, wouldn't you?
Oh, this one's sweet.
You know, for your rosary rattlers.
Mrs. Cooper, we say ""Catholics"""" not ""rosary rattlers.""","This is like the worst Hollywood tour ever.
What are we gonna do? She wanted to see churches.
Hey, they have wine here, don't they?","그래, 그 흔한 감기
누구나 다 똑같이 걸리지
네가 좋아할 법하네
여기는 아늑하네
묵주 딸랑이들이 좋아하겠어
묵주 딸랑이가 아니라 가톨릭이라고 불러요","최악의 할리우드 투어야
성당을 보고 싶어하시잖아
여기 와인 있지 않아?",F
16,21646,wonder,347,"Well said, Boy Wonder.",BB511,1047425,1050359,well said boy wonder,./bigbang,F,2,wonder,11,7,3,"but we could have killed him.
I might kill him right now.
The Dark Knight has your back.
He's scared, but he has your back.
Okay, Jimmy, it's time for you to go.
Yeah, all right, let me just finish this.
No, you're done. I want you out of my apartment right now.","Or what?
Don't answer that. It's a trick question.
I speak from experience.","이미 죽일 기회를 놓쳤다
지금 죽일 수도 있겠어
다크 나이트가 도와줄게
무섭지만 지켜주마
지미, 이제 나가줘야겠다
이것 좀 먹고
됐어, 당장 나가","안 그럼 뭐?
답하지 마, 속임수야
나도 경험해봤어",F
17,23974,wonder,2,You ever wonder how humans would be different,BB513,5083,7217,you ever wonder how humans would be different,./bigbang,F,2,wonder,12,2,2,"You feel like trying something new for dinner?
Maybe Indian, Tex-Mex?","if they evolved from lizards instead of mammals?
Okay, let's talk about that.","저녁 때 새로운 거 먹을까?
인도 요리?  텍스 멕스?","도마뱀으로부터  진화했다면 어땠을까?
그 주제로 넘어갔군",F
18,30372,wonder,28,I wonder what he wants.,BB516,81275,82942,i wonder what he wants,./bigbang,F,2,wonder,13,8,6,"since the day Leonard made that multiplication error.
Oh, Oh, Lord, that multiplication error!
(laughing): He thought he carried the one.
But he didn't.
It's not funny.
That mistake got published.
Stop! I'm going to wet myself!
Hey, guys, guys, President Siebert is headed this way.","Doesn't look happy, so I'm guessing
he wants to talk to Sheldon.
Dr. Cooper?
Told ya.
Oh, President Siebert,
I assume you'd like to respond to one of the suggestions","레너드가 곱셈 실수를 한 이후로
아, 그것도 웃겼지
자리 올림을  한 줄 알았는데
아니더라고
심각해
출판되기까지 했다고
너무 웃겨서  오줌 쌀 지경이야
시버트 총장님 오신다","표정이 썩었네
쉘든을 찾고 있나봐
쿠퍼 박사?
거봐
안녕하세요, 총장님
제안함에 넣은 쪽지를 읽어보셨나 보네요",F
19,32633,wonder,6,I wonder how long Sheldon's got.,BB517,16090,18340,i wonder how long sheldon's got,./bigbang,F,2,wonder,14,6,2,"It was a nice retirement party.
I guess.
Still, it's a shame
What choice did the university have?
He snapped.
It happens to theoretical physicists all the time.","These shrimp are all the same size.
There's no the logical order to eat them in.","은퇴 파티도 나쁘지 않네
그래
하지만 로스만 교수님이  물러나게 한 건 너무해
학교 측에서도 어쩔 수 없었지
정신이 나갔잖아
이론 물리학자들은  결국 그렇게 되지","새우가 다 같은 크기네
새우가 먹힐 순서를 논리적으로 정할 수가 없군",F
20,45106,wonder,293,"Well, no wonder the women are winning.",BB523,971696,974863,well no wonder women are winning,./bigbang,F,2,wonder,15,9,2,"Well, if you had a physical relationship,
I'd say propose during sex.
Turns out that's a real mood killer.
I assume we're talking about you now?
Yeah.
So, that's how this works?
I complain, and then you complain,
and no one offers any solutions?
Pretty much.","Mr. Rostenkowski, are you busy?
Oh, just looking at some old pictures. Come on in.","육체적인 관계를 거부하지 않았다면
섹스를 제안했을 텐데
내가 해보니 역효과가 날 수도 있더라
이제 네 얘기하는 건가?
응
이렇게 진행하는 거야?
내가 불평한 다음에 네가 불평하고
해결책은 없지?
응, 대충 그래","아버님, 시간 괜찮으세요?
그냥 사진첩 보고 있어, 들어오렴",F
